event_date,year,month,day,event_type,country,admin1,fatalities,actor1_type,actor2_type,interaction_type,is_terrorist_group_related,terrorist_group_filiation,is_pmc_related
2024-04-25,2024,4,25,Battles,Burkina Faso,Est,0,State Forces,Rebel Groups,STATE FORCES VERSUS REBELS,1,Al-Qaeda,0
2024-04-25,2024,4,25,Battles,Burkina Faso,Est,0,State Forces,Rebel Groups,STATE FORCES VERSUS REBELS,1,Al-Qaeda,0
2024-04-25,2024,4,25,Battles,Mali,Gao,0,Rebel Groups,State Forces,STATE FORCES VERSUS REBELS,1,Islamic State,0
2024-04-25,2024,4,25,Violence against civilians,Mali,Mopti,1,Political Militias,Civilians,POLITICAL MILITIA VERSUS CIVILIANS,0,None,0
2024-04-25,2024,4,25,Violence against civilians,Mali,Gao,3,Political Militias,Civilians,POLITICAL MILITIA VERSUS CIVILIANS,0,None,0
2024-04-25,2024,4,25,Violence against civilians,Niger,Tillaberi,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Islamic State,0
2024-04-25,2024,4,25,Strategic developments,Niger,Tillaberi,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Al-Qaeda,0
2024-04-25,2024,4,25,Strategic developments,Niger,Tillaberi,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Al-Qaeda,0
2024-04-24,2024,4,24,Explosions/Remote violence,Burkina Faso,Sahel,1,Rebel Groups,State Forces,STATE FORCES VERSUS REBELS,1,Al-Qaeda,0
2024-04-24,2024,4,24,Strategic developments,Mali,Kidal,0,External/Other Forces,Political Militias,POLITICAL MILITIA VERSUS OTHERS,0,None,1
2024-04-24,2024,4,24,Violence against civilians,Mali,Menaka,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Islamic State,0
2024-04-24,2024,4,24,Strategic developments,Mali,Kidal,0,State Forces,Civilians,STATE FORCES VERSUS CIVILIANS,0,None,1
2024-04-24,2024,4,24,Strategic developments,Mali,Kidal,0,State Forces,Civilians,STATE FORCES VERSUS CIVILIANS,0,None,1
2024-04-24,2024,4,24,Battles,Burkina Faso,Centre-Est,27,Rebel Groups,Identity Militias,REBELS VERSUS IDENTITY MILITIA,1,Al-Qaeda,0
2024-04-24,2024,4,24,Battles,Burkina Faso,Cascades,3,Rebel Groups,Identity Militias,REBELS VERSUS IDENTITY MILITIA,1,Al-Qaeda,0
2024-04-24,2024,4,24,Battles,Niger,Diffa,1,State Forces,Rebel Groups,STATE FORCES VERSUS REBELS,1,Islamic State,0
2024-04-23,2024,4,23,Battles,Burkina Faso,Centre-Est,35,Rebel Groups,State Forces,STATE FORCES VERSUS REBELS,1,Al-Qaeda,0
2024-04-23,2024,4,23,Explosions/Remote violence,Burkina Faso,Est,10,State Forces,Rebel Groups,STATE FORCES VERSUS REBELS,1,Al-Qaeda,0
2024-04-23,2024,4,23,Explosions/Remote violence,Burkina Faso,Est,3,State Forces,Rebel Groups,STATE FORCES VERSUS REBELS,1,Al-Qaeda,0
2024-04-23,2024,4,23,Explosions/Remote violence,Burkina Faso,Centre-Est,3,State Forces,Rebel Groups,STATE FORCES VERSUS REBELS,1,Al-Qaeda,0
2024-04-23,2024,4,23,Strategic developments,Burkina Faso,Est,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Al-Qaeda,0
2024-04-23,2024,4,23,Strategic developments,Burkina Faso,Est,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Al-Qaeda,0
2024-04-23,2024,4,23,Violence against civilians,Burkina Faso,Nord,2,State Forces,Civilians,STATE FORCES VERSUS CIVILIANS,0,None,0
2024-04-23,2024,4,23,Battles,Mali,Tombouctou,24,State Forces,Rebel Groups,STATE FORCES VERSUS REBELS,1,Al-Qaeda,0
2024-04-23,2024,4,23,Battles,Mali,Mopti,3,Rebel Groups,State Forces,STATE FORCES VERSUS REBELS,1,Al-Qaeda,0
2024-04-23,2024,4,23,Explosions/Remote violence,Mali,Tombouctou,0,Rebel Groups,State Forces,STATE FORCES VERSUS REBELS,1,Al-Qaeda,1
2024-04-23,2024,4,23,Explosions/Remote violence,Niger,Diffa,0,Rebel Groups,State Forces,STATE FORCES VERSUS REBELS,1,Islamic State,0
2024-04-23,2024,4,23,Explosions/Remote violence,Niger,Diffa,3,State Forces,Rebel Groups,STATE FORCES VERSUS REBELS,1,Islamic State,0
2024-04-23,2024,4,23,Strategic developments,Niger,Diffa,0,State Forces,Rebel Groups,STATE FORCES VERSUS REBELS,1,Islamic State,0
2024-04-23,2024,4,23,Battles,Niger,Tillaberi,2,State Forces,Rebel Groups,STATE FORCES VERSUS REBELS,1,Islamic State,0
2024-04-23,2024,4,23,Violence against civilians,Niger,Tillaberi,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Islamic State,0
2024-04-22,2024,4,22,Violence against civilians,Burkina Faso,Est,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Al-Qaeda,0
2024-04-22,2024,4,22,Violence against civilians,Burkina Faso,Nord,30,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Al-Qaeda,0
2024-04-22,2024,4,22,Battles,Burkina Faso,Est,0,Rebel Groups,Identity Militias,REBELS VERSUS IDENTITY MILITIA,1,Al-Qaeda,0
2024-04-22,2024,4,22,Violence against civilians,Mali,Gao,1,Political Militias,Civilians,POLITICAL MILITIA VERSUS CIVILIANS,0,None,0
2024-04-22,2024,4,22,Violence against civilians,Mali,Gao,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Islamic State,0
2024-04-22,2024,4,22,Violence against civilians,Mali,Kidal,2,State Forces,Civilians,STATE FORCES VERSUS CIVILIANS,0,None,1
2024-04-22,2024,4,22,Strategic developments,Mali,Gao,0,State Forces,Rebel Groups,STATE FORCES VERSUS REBELS,1,Islamic State,0
2024-04-22,2024,4,22,Battles,Mali,Tombouctou,5,State Forces,Rebel Groups,STATE FORCES VERSUS REBELS,1,Al-Qaeda,0
2024-04-22,2024,4,22,Violence against civilians,Niger,Diffa,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Islamic State,0
2024-04-22,2024,4,22,Battles,Niger,Tillaberi,3,Rebel Groups,State Forces,STATE FORCES VERSUS REBELS,1,Islamic State,0
2024-04-22,2024,4,22,Battles,Niger,Diffa,4,Rebel Groups,State Forces,STATE FORCES VERSUS REBELS,1,Islamic State,0
2024-04-21,2024,4,21,Battles,Burkina Faso,Sahel,1,Rebel Groups,Identity Militias,REBELS VERSUS IDENTITY MILITIA,1,Al-Qaeda,0
2024-04-21,2024,4,21,Strategic developments,Burkina Faso,Sahel,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Islamic State,0
2024-04-21,2024,4,21,Explosions/Remote violence,Burkina Faso,Centre-Nord,3,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Al-Qaeda,0
2024-04-21,2024,4,21,Strategic developments,Burkina Faso,Boucle du Mouhoun,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Al-Qaeda,0
2024-04-21,2024,4,21,Explosions/Remote violence,Burkina Faso,Centre-Nord,2,Rebel Groups,State Forces,STATE FORCES VERSUS REBELS,1,Al-Qaeda,0
2024-04-21,2024,4,21,Explosions/Remote violence,Burkina Faso,Centre-Nord,1,Rebel Groups,Identity Militias,REBELS VERSUS IDENTITY MILITIA,1,Al-Qaeda,0
2024-04-21,2024,4,21,Battles,Burkina Faso,Centre-Est,6,Rebel Groups,Identity Militias,REBELS VERSUS IDENTITY MILITIA,1,Al-Qaeda,0
2024-04-21,2024,4,21,Violence against civilians,Mali,Mopti,9,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Al-Qaeda,0
2024-04-21,2024,4,21,Violence against civilians,Mali,Mopti,1,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Al-Qaeda,0
2024-04-20,2024,4,20,Violence against civilians,Burkina Faso,Hauts-Bassins,10,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Al-Qaeda,0
2024-04-20,2024,4,20,Battles,Burkina Faso,Boucle du Mouhoun,0,Rebel Groups,State Forces,STATE FORCES VERSUS REBELS,1,Al-Qaeda,0
2024-04-20,2024,4,20,Battles,Burkina Faso,Boucle du Mouhoun,1,Identity Militias,Rebel Groups,REBELS VERSUS IDENTITY MILITIA,1,Al-Qaeda,0
2024-04-20,2024,4,20,Violence against civilians,Mali,Gao,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Islamic State,0
2024-04-20,2024,4,20,Violence against civilians,Mali,Gao,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Islamic State,0
2024-04-20,2024,4,20,Battles,Niger,Tillaberi,6,Rebel Groups,State Forces,STATE FORCES VERSUS REBELS,1,Islamic State,0
2024-04-20,2024,4,20,Strategic developments,Niger,Tillaberi,0,Political Militias,Civilians,POLITICAL MILITIA VERSUS CIVILIANS,0,None,0
2024-04-20,2024,4,20,Battles,Burkina Faso,Centre-Nord,0,Rebel Groups,State Forces,STATE FORCES VERSUS REBELS,1,Al-Qaeda,0
2024-04-20,2024,4,20,Violence against civilians,Burkina Faso,Sahel,50,State Forces,Civilians,STATE FORCES VERSUS CIVILIANS,0,None,0
2024-04-19,2024,4,19,Explosions/Remote violence,Mali,Koulikoro,0,State Forces,Rebel Groups,STATE FORCES VERSUS REBELS,1,Al-Qaeda,0
2024-04-19,2024,4,19,Battles,Burkina Faso,Centre-Est,1,Rebel Groups,Identity Militias,REBELS VERSUS IDENTITY MILITIA,1,Al-Qaeda,0
2024-04-19,2024,4,19,Violence against civilians,Mali,Gao,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Islamic State,0
2024-04-19,2024,4,19,Battles,Mali,Tombouctou,1,State Forces,Rebel Groups,STATE FORCES VERSUS REBELS,1,Al-Qaeda,0
2024-04-19,2024,4,19,Strategic developments,Niger,Tillaberi,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Islamic State,0
2024-04-18,2024,4,18,Strategic developments,Burkina Faso,Est,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Al-Qaeda,0
2024-04-18,2024,4,18,Violence against civilians,Mali,Mopti,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Al-Qaeda,0
2024-04-18,2024,4,18,Violence against civilians,Mali,Kayes,0,Political Militias,Civilians,POLITICAL MILITIA VERSUS CIVILIANS,0,None,0
2024-04-18,2024,4,18,Violence against civilians,Mali,Mopti,8,State Forces,Civilians,STATE FORCES VERSUS CIVILIANS,0,None,1
2024-04-18,2024,4,18,Violence against civilians,Mali,Koulikoro,8,External/Other Forces,Civilians,OTHER ACTOR VERSUS CIVILIANS,0,None,1
2024-04-18,2024,4,18,Violence against civilians,Mali,Koulikoro,7,External/Other Forces,Civilians,OTHER ACTOR VERSUS CIVILIANS,0,None,1
2024-04-18,2024,4,18,Explosions/Remote violence,Niger,Tillaberi,3,Rebel Groups,State Forces,STATE FORCES VERSUS REBELS,1,Al-Qaeda,0
2024-04-18,2024,4,18,Battles,Burkina Faso,Cascades,1,Identity Militias,Rebel Groups,REBELS VERSUS IDENTITY MILITIA,1,Al-Qaeda,0
2024-04-18,2024,4,18,Violence against civilians,Burkina Faso,Est,3,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Al-Qaeda,0
2024-04-18,2024,4,18,Strategic developments,Burkina Faso,Centre-Nord,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Al-Qaeda,0
2024-04-18,2024,4,18,Violence against civilians,Burkina Faso,Centre-Est,0,Identity Militias,Civilians,IDENTITY MILITIA VERSUS CIVILIANS,0,None,0
2024-04-18,2024,4,18,Violence against civilians,Mali,Gao,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Islamic State,0
2024-04-18,2024,4,18,Strategic developments,Mali,Gao,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Islamic State,0
2024-04-17,2024,4,17,Violence against civilians,Mali,Segou,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Al-Qaeda,0
2024-04-17,2024,4,17,Battles,Burkina Faso,Centre-Nord,47,Rebel Groups,State Forces,STATE FORCES VERSUS REBELS,1,Al-Qaeda,0
2024-04-17,2024,4,17,Explosions/Remote violence,Burkina Faso,Est,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Al-Qaeda,0
2024-04-17,2024,4,17,Battles,Burkina Faso,Sahel,10,State Forces,Rebel Groups,STATE FORCES VERSUS REBELS,1,Islamic State,0
2024-04-17,2024,4,17,Violence against civilians,Burkina Faso,Sahel,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Al-Qaeda,0
2024-04-17,2024,4,17,Violence against civilians,Burkina Faso,Centre-Est,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Al-Qaeda,0
2024-04-17,2024,4,17,Violence against civilians,Burkina Faso,Boucle du Mouhoun,1,Identity Militias,Civilians,IDENTITY MILITIA VERSUS CIVILIANS,0,None,0
2024-04-17,2024,4,17,Explosions/Remote violence,Mali,Mopti,0,Rebel Groups,State Forces,STATE FORCES VERSUS REBELS,1,Al-Qaeda,0
2024-04-17,2024,4,17,Violence against civilians,Niger,Tillaberi,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Islamic State,0
2024-04-17,2024,4,17,Strategic developments,Niger,Tillaberi,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Islamic State,0
2024-04-17,2024,4,17,Battles,Burkina Faso,Centre-Nord,1,Rebel Groups,Identity Militias,REBELS VERSUS IDENTITY MILITIA,1,Al-Qaeda,0
2024-04-16,2024,4,16,Strategic developments,Burkina Faso,Boucle du Mouhoun,0,Civilians,None,SOLE CIVILIAN ACTION,0,None,0
2024-04-16,2024,4,16,Battles,Burkina Faso,Centre-Est,12,Rebel Groups,State Forces,STATE FORCES VERSUS REBELS,1,Al-Qaeda,0
2024-04-16,2024,4,16,Explosions/Remote violence,Mali,Gao,0,Rebel Groups,State Forces,STATE FORCES VERSUS REBELS,1,Islamic State,0
2024-04-16,2024,4,16,Strategic developments,Mali,Gao,0,Political Militias,Civilians,POLITICAL MILITIA VERSUS CIVILIANS,0,None,0
2024-04-16,2024,4,16,Battles,Mali,Menaka,0,Political Militias,Rebel Groups,REBELS VERSUS POLITICAL MILITIA,1,Islamic State,0
2024-04-16,2024,4,16,Battles,Mali,Segou,0,State Forces,Rebel Groups,STATE FORCES VERSUS REBELS,1,Al-Qaeda,0
2024-04-16,2024,4,16,Strategic developments,Mali,Menaka,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Islamic State,0
2024-04-16,2024,4,16,Strategic developments,Mali,Menaka,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Islamic State,0
2024-04-16,2024,4,16,Explosions/Remote violence,Mali,Menaka,10,External/Other Forces,Rebel Groups,REBELS VERSUS OTHERS,1,Islamic State,0
2024-04-16,2024,4,16,Strategic developments,Burkina Faso,Boucle du Mouhoun,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Al-Qaeda,0
2024-04-16,2024,4,16,Strategic developments,Burkina Faso,Boucle du Mouhoun,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Al-Qaeda,0
2024-04-16,2024,4,16,Strategic developments,Burkina Faso,Est,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Al-Qaeda,0
2024-04-16,2024,4,16,Strategic developments,Burkina Faso,Est,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Al-Qaeda,0
2024-04-16,2024,4,16,Strategic developments,Burkina Faso,Est,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Al-Qaeda,0
2024-04-16,2024,4,16,Battles,Burkina Faso,Centre-Est,16,Rebel Groups,State Forces,STATE FORCES VERSUS REBELS,1,Al-Qaeda,0
2024-04-16,2024,4,16,Battles,Burkina Faso,Nord,0,Rebel Groups,Identity Militias,REBELS VERSUS IDENTITY MILITIA,1,Al-Qaeda,0
2024-04-16,2024,4,16,Battles,Burkina Faso,Sahel,11,State Forces,Rebel Groups,STATE FORCES VERSUS REBELS,1,Islamic State,0
2024-04-16,2024,4,16,Strategic developments,Burkina Faso,Sud-Ouest,0,State Forces,Rebel Groups,STATE FORCES VERSUS REBELS,1,Al-Qaeda,0
2024-04-16,2024,4,16,Violence against civilians,Mali,Mopti,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Al-Qaeda,0
2024-04-16,2024,4,16,Strategic developments,Burkina Faso,Est,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Al-Qaeda,0
2024-04-15,2024,4,15,Violence against civilians,Burkina Faso,Sahel,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Islamic State,0
2024-04-15,2024,4,15,Explosions/Remote violence,Burkina Faso,Boucle du Mouhoun,0,Rebel Groups,None,SOLE REBEL ACTION,1,Al-Qaeda,0
2024-04-15,2024,4,15,Battles,Mali,Mopti,5,State Forces,Rebel Groups,STATE FORCES VERSUS REBELS,1,Al-Qaeda,0
2024-04-15,2024,4,15,Battles,Mali,Mopti,5,State Forces,Rebel Groups,STATE FORCES VERSUS REBELS,1,Al-Qaeda,0
2024-04-15,2024,4,15,Violence against civilians,Mali,Gao,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Islamic State,0
2024-04-15,2024,4,15,Violence against civilians,Mali,Gao,4,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Islamic State,0
2024-04-15,2024,4,15,Violence against civilians,Mali,Gao,3,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Islamic State,0
2024-04-15,2024,4,15,Violence against civilians,Mali,Tombouctou,7,State Forces,Civilians,STATE FORCES VERSUS CIVILIANS,0,None,0
2024-04-15,2024,4,15,Violence against civilians,Mali,Gao,1,Political Militias,Civilians,POLITICAL MILITIA VERSUS CIVILIANS,0,None,0
2024-04-15,2024,4,15,Violence against civilians,Niger,Tillaberi,13,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Islamic State,0
2024-04-15,2024,4,15,Explosions/Remote violence,Niger,Tillaberi,5,Rebel Groups,State Forces,STATE FORCES VERSUS REBELS,1,Al-Qaeda,0
2024-04-15,2024,4,15,Violence against civilians,Burkina Faso,Sahel,0,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Islamic State,0
2024-04-15,2024,4,15,Explosions/Remote violence,Burkina Faso,Boucle du Mouhoun,1,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Al-Qaeda,0
2024-04-15,2024,4,15,Violence against civilians,Mali,Gao,1,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Islamic State,0
2024-04-15,2024,4,15,Explosions/Remote violence,Mali,Mopti,2,Rebel Groups,Civilians,REBELS VERSUS CIVILIANS,1,Al-Qaeda,0
